n,x,y,lx,ly,rx,ry,xT,yT,zT,clx,cly,clz,crx,cry,crz
0.0,-0.5298,-4.3564,-3.6563,-4.367,2.7443,-4.4831,0.0,0.0,0.4433,-0.0291,0.0034,-0.0193,0.0283,0.0044,-0.0196
4.0038,-0.5398,-4.357,-3.8098,-4.5383,2.7298,-4.4202,0.0,0.0,0.4433,-0.029,0.0034,-0.0193,0.0283,0.0044,-0.0196
8.1899,-0.5394,-4.3624,-3.8175,-4.6468,2.6864,-4.4523,0.0,0.0,0.4433,-0.029,0.0034,-0.0193,0.0283,0.0044,-0.0197
12.1958,-0.5528,-4.3656,-3.8762,-4.4614,2.7085,-4.5022,0.0,0.0,0.4433,-0.029,0.0034,-0.0194,0.0283,0.0044,-0.0196
16.1335,-0.5501,-4.3619,-3.7526,-4.4366,2.6965,-4.4281,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
20.1304,-0.5363,-4.3625,-3.4654,-4.3649,2.7056,-4.4686,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
24.1728,-0.5436,-4.3534,-3.7783,-4.2115,2.7291,-4.3967,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
28.05,-0.54,-4.3532,-3.705,-4.4252,2.6482,-4.4367,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0197
32.0181,-0.5343,-4.3484,-3.6607,-4.2718,2.7433,-4.5138,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0196
36.0006,-0.5121,-4.3333,-3.619,-4.3189,2.8272,-4.4123,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0197
40.0623,-0.5145,-4.3328,-3.584,-4.3449,2.6368,-4.4542,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0197
44.0152,-0.5237,-4.3312,-3.7458,-4.3652,2.6356,-4.4614,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0197
48.0545,-0.5166,-4.3281,-3.7427,-4.3551,2.8132,-4.5227,0.0,0.0,0.4433,-0.029,0.0034,-0.0194,0.0283,0.0044,-0.0196
52.1278,-0.5088,-4.3218,-3.7345,-4.3808,2.7875,-4.535,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
56.0029,-0.5027,-4.3193,-3.7104,-4.3838,2.7077,-4.4944,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
60.0126,-0.4974,-4.3224,-3.7041,-4.3772,2.7763,-4.5338,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
64.1301,-0.5094,-4.3232,-3.6867,-4.3664,2.6432,-4.4747,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
68.1735,-0.516,-4.3403,-3.8399,-4.3475,2.6763,-4.6483,0.0,0.0,0.4433,-0.029,0.0034,-0.0194,0.0283,0.0044,-0.0197
72.1352,-0.5162,-4.3417,-3.6889,-4.3819,2.6484,-4.5031,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0197
76.1301,-0.5105,-4.335,-3.6621,-4.3718,2.8462,-4.2909,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0197
80.0367,-0.5222,-4.3449,-3.7286,-4.419,2.6672,-4.5375,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
84.0276,-0.525,-4.3497,-3.707,-4.3865,2.6887,-4.5251,0.0,0.0,0.4433,-0.029,0.0034,-0.0193,0.0283,0.0044,-0.0196
88.0078,-0.5239,-4.3556,-3.6843,-4.4286,2.622,-4.5301,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0196
92.0082,-0.5172,-4.3559,-3.4504,-4.3217,2.6352,-4.5637,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0197
96.0972,-0.5163,-4.3595,-3.6818,-4.3986,2.7465,-4.5834,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0197
100.0581,-0.4985,-4.3687,-3.3602,-4.4762,2.6984,-4.5898,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
104.0323,-0.4838,-4.3696,-3.3558,-4.3465,2.701,-4.579,0.0,0.0,0.4433,-0.0291,0.0034,-0.0197,0.0283,0.0044,-0.0196
108.1801,-0.4834,-4.3754,-3.6636,-4.3749,2.6776,-4.5961,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0197
112.1495,-0.5129,-4.3885,-4.0671,-4.5888,2.4309,-4.6506,0.0,0.0,0.4433,-0.029,0.0034,-0.0193,0.0283,0.0044,-0.0196
116.0206,-0.5124,-4.3993,-3.7059,-4.4659,2.6143,-4.6407,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0197
120.1604,-0.5417,-4.4143,-3.9119,-4.3689,2.5255,-4.6595,0.0,0.0,0.4433,-0.029,0.0034,-0.0193,0.0283,0.0044,-0.0196
124.1747,-0.5471,-4.4113,-3.7287,-4.2662,2.5359,-4.6348,0.0,0.0,0.4433,-0.0291,0.0034,-0.0193,0.0283,0.0044,-0.0196
128.1774,-0.5607,-4.4192,-3.8942,-4.4761,2.6509,-4.6092,0.0,0.0,0.4433,-0.029,0.0034,-0.0194,0.0283,0.0044,-0.0196
132.2264,-0.5473,-4.4137,-3.5236,-4.2641,2.6579,-4.5949,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0197
136.1718,-0.5494,-4.42,-3.5731,-4.4419,2.6914,-4.5973,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
140.028,-0.5253,-4.4178,-3.2449,-4.4039,2.6775,-4.5423,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
144.1274,-0.5359,-4.4112,-3.4188,-4.3299,2.5173,-4.5951,0.0,0.0,0.4433,-0.0291,0.0034,-0.0198,0.0283,0.0044,-0.0196
148.0339,-0.5404,-4.4141,-3.4719,-4.4113,2.6347,-4.5943,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
152.0669,-0.5159,-4.412,-3.3151,-4.3916,2.729,-4.5524,0.0,0.0,0.4433,-0.0291,0.0034,-0.0197,0.0283,0.0044,-0.0196
156.2412,-0.4857,-4.3946,-3.3614,-4.2565,2.5078,-4.583,0.0,0.0,0.4433,-0.0291,0.0034,-0.0198,0.0283,0.0044,-0.0196
160.0251,-0.474,-4.379,-3.3694,-4.1874,2.5291,-4.5783,0.0,0.0,0.4433,-0.0291,0.0034,-0.0198,0.0283,0.0044,-0.0196
164.1304,-0.4409,-4.3802,-3.3416,-4.3559,2.7238,-4.6805,0.0,0.0,0.4433,-0.0291,0.0034,-0.0198,0.0283,0.0044,-0.0195
168.1691,-0.4316,-4.3795,-3.455,-4.3272,2.5437,-4.5721,0.0,0.0,0.4433,-0.0291,0.0034,-0.0198,0.0283,0.0044,-0.0196
172.1176,-0.4215,-4.3772,-3.3954,-4.4296,2.4643,-4.5806,0.0,0.0,0.4433,-0.0291,0.0034,-0.0197,0.0283,0.0044,-0.0196
176.1967,-0.4156,-4.3854,-3.3584,-4.4475,2.6238,-4.5953,0.0,0.0,0.4433,-0.0291,0.0034,-0.0197,0.0283,0.0044,-0.0196
180.1555,-0.4124,-4.3935,-3.1947,-4.4783,2.41,-4.7021,0.0,0.0,0.4433,-0.0291,0.0034,-0.0197,0.0283,0.0044,-0.0195
184.0282,-0.4372,-4.3948,-3.275,-4.4677,2.1874,-4.5033,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0284,0.0044,-0.0195
188.1682,-0.45,-4.4161,-3.564,-4.6552,2.4123,-4.6997,0.0,0.0,0.4433,-0.0291,0.0034,-0.0194,0.0283,0.0044,-0.0195
192.1427,-0.459,-4.4198,-3.5185,-4.4652,2.4954,-4.6074,0.0,0.0,0.4433,-0.0291,0.0034,-0.0195,0.0283,0.0044,-0.0196
196.0762,-0.4809,-4.4294,-3.3353,-4.4301,2.2688,-4.7123,0.0,0.0,0.4433,-0.0291,0.0034,-0.0196,0.0283,0.0044,-0.0196
